fold_id,task_slug,split_role,context_id,sortie_id,view_id,input_start_offset_ms,input_end_exclusive_ms,target_start_offset_ms,target_end_exclusive_ms,target_status,class_target,continuous_target,binary_target,input_fully_observed,binding_status,fit_sample_hash,schema_sha256,archive_sha256
leave_one_sortie_out__fold01,maneuver_intensity_classification,test,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0005,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,0,30000,25000,30000,completed,0,,-1,True,available,e128ef9b82b37fc3e8400f37df1e0f609a988bc430b203546a3e2eff609c2666,dd36f05f8880bee8c5ba77d76ac069241098d7e78a13a386149e512e273e1315,c417308457dfbe9660e78c0744083a4d06a301ffa2239eb98e088761a3f46438
leave_one_sortie_out__fold01,maneuver_intensity_classification,test,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0006,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,5000,35000,30000,35000,completed,0,,-1,True,available,e128ef9b82b37fc3e8400f37df1e0f609a988bc430b203546a3e2eff609c2666,dd36f05f8880bee8c5ba77d76ac069241098d7e78a13a386149e512e273e1315,c417308457dfbe9660e78c0744083a4d06a301ffa2239eb98e088761a3f46438
leave_one_sortie_out__fold01,maneuver_intensity_classification,test,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0007,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,10000,40000,35000,40000,completed,0,,-1,True,available,e128ef9b82b37fc3e8400f37df1e0f609a988bc430b203546a3e2eff609c2666,dd36f05f8880bee8c5ba77d76ac069241098d7e78a13a386149e512e273e1315,c417308457dfbe9660e78c0744083a4d06a301ffa2239eb98e088761a3f46438
leave_one_sortie_out__fold01,maneuver_intensity_classification,test,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0008,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,15000,45000,40000,45000,completed,1,,-1,True,available,e128ef9b82b37fc3e8400f37df1e0f609a988bc430b203546a3e2eff609c2666,dd36f05f8880bee8c5ba77d76ac069241098d7e78a13a386149e512e273e1315,c417308457dfbe9660e78c0744083a4d06a301ffa2239eb98e088761a3f46438
leave_one_sortie_out__fold01,maneuver_intensity_classification,test,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0009,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,20000,50000,45000,50000,completed,2,,-1,True,available,e128ef9b82b37fc3e8400f37df1e0f609a988bc430b203546a3e2eff609c2666,dd36f05f8880bee8c5ba77d76ac069241098d7e78a13a386149e512e273e1315,c417308457dfbe9660e78c0744083a4d06a301ffa2239eb98e088761a3f46438
leave_one_sortie_out__fold01,maneuver_intensity_classification,test,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0010,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,25000,55000,50000,55000,completed,1,,-1,True,available,e128ef9b82b37fc3e8400f37df1e0f609a988bc430b203546a3e2eff609c2666,dd36f05f8880bee8c5ba77d76ac069241098d7e78a13a386149e512e273e1315,c417308457dfbe9660e78c0744083a4d06a301ffa2239eb98e088761a3f46438
leave_one_sortie_out__fold01,maneuver_intensity_classification,test,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0011,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,30000,60000,55000,60000,completed,1,,-1,True,available,e128ef9b82b37fc3e8400f37df1e0f609a988bc430b203546a3e2eff609c2666,dd36f05f8880bee8c5ba77d76ac069241098d7e78a13a386149e512e273e1315,c417308457dfbe9660e78c0744083a4d06a301ffa2239eb98e088761a3f46438
leave_one_sortie_out__fold01,maneuver_intensity_classification,test,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0012,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,35000,65000,60000,65000,completed,0,,-1,True,available,e128ef9b82b37fc3e8400f37df1e0f609a988bc430b203546a3e2eff609c2666,dd36f05f8880bee8c5ba77d76ac069241098d7e78a13a386149e512e273e1315,c417308457dfbe9660e78c0744083a4d06a301ffa2239eb98e088761a3f46438
leave_one_sortie_out__fold01,maneuver_intensity_classification,test,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0013,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,40000,70000,65000,70000,completed,0,,-1,True,available,e128ef9b82b37fc3e8400f37df1e0f609a988bc430b203546a3e2eff609c2666,dd36f05f8880bee8c5ba77d76ac069241098d7e78a13a386149e512e273e1315,c417308457dfbe9660e78c0744083a4d06a301ffa2239eb98e088761a3f46438
leave_one_sortie_out__fold01,maneuver_intensity_classification,test,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0014,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,45000,75000,70000,75000,completed,1,,-1,True,available,e128ef9b82b37fc3e8400f37df1e0f609a988bc430b203546a3e2eff609c2666,dd36f05f8880bee8c5ba77d76ac069241098d7e78a13a386149e512e273e1315,c417308457dfbe9660e78c0744083a4d06a301ffa2239eb98e088761a3f46438
